H_sapiens,M_musculus,P_vitticeps,L_striata
AQP4,Aqp4,ENSPVIG00000018153,ENSLSDG00000003332
FGFR3,Fgfr3,ENSPVIG00000014380,ENSLSDG00000000079
ALDH1L1,Aldh1l1,-,-
GFAP,Gfap,ENSPVIG00000019022,ENSLSDG00000006989
S100B,S100b,-,ENSLSDG00000001793
