hgnc_symbol,ensp,cog
AQP4,ENSP00000372654,COG0580
FGFR3,ENSP00000339824,KOG0200
ALDH1L1,ENSP00000273450,COG1012
GFAP,ENSP00000468500,NOG07029
S100B,ENSP00000291700,NOG26751
